key,team_a,team_b,city,matchday,revenue_usd_m
Haiti|South Africa|Mexico City|2,Haiti,South Africa,Mexico City,2,8.2795
Curacao|South Africa|Mexico City|2,Curacao,South Africa,Mexico City,2,8.2024
New Zealand|South Africa|Mexico City|2,New Zealand,South Africa,Mexico City,2,8.1706
Colombia|Uzbekistan|Mexico City|3,Colombia,Uzbekistan,Mexico City,3,8.0573
Colombia|Qatar|Mexico City|3,Colombia,Qatar,Mexico City,3,8.0573
Colombia|Saudi Arabia|Mexico City|3,Colombia,Saudi Arabia,Mexico City,3,8.0573
Jordan|South Africa|Mexico City|2,Jordan,South Africa,Mexico City,2,8.0375
Ghana|Saudi Arabia|Mexico City|2,Ghana,Saudi Arabia,Mexico City,2,8.025
New Zealand|Saudi Arabia|Mexico City|2,New Zealand,Saudi Arabia,Mexico City,2,8.0163
Colombia|Tunisia|Mexico City|3,Colombia,Tunisia,Mexico City,3,8.0119
Colombia|Cote d'Ivoire|Mexico City|3,Colombia,Cote d'Ivoire,Mexico City,3,8.0119
Curacao|Saudi Arabia|Mexico City|2,Curacao,Saudi Arabia,Mexico City,2,8.0029
Haiti|Saudi Arabia|Mexico City|2,Haiti,Saudi Arabia,Mexico City,2,8.0029
Croatia|Uzbekistan|Mexico City|3,Croatia,Uzbekistan,Mexico City,3,7.9993
Morocco|Uzbekistan|Mexico City|3,Morocco,Uzbekistan,Mexico City,3,7.9993
Croatia|Qatar|Mexico City|3,Croatia,Qatar,Mexico City,3,7.9993
Morocco|Qatar|Mexico City|3,Morocco,Qatar,Mexico City,3,7.9993
Qatar|Switzerland|Mexico City|3,Qatar,Switzerland,Mexico City,3,7.9993
Croatia|Saudi Arabia|Mexico City|3,Croatia,Saudi Arabia,Mexico City,3,7.9993
Morocco|Saudi Arabia|Mexico City|3,Morocco,Saudi Arabia,Mexico City,3,7.9993
Saudi Arabia|Switzerland|Mexico City|3,Saudi Arabia,Switzerland,Mexico City,3,7.9993
Croatia|Tunisia|Mexico City|3,Croatia,Tunisia,Mexico City,3,7.9781
Cote d'Ivoire|Croatia|Mexico City|3,Cote d'Ivoire,Croatia,Mexico City,3,7.9781
Qatar|Uruguay|Mexico City|3,Qatar,Uruguay,Mexico City,3,7.9764
Saudi Arabia|Uruguay|Mexico City|3,Saudi Arabia,Uruguay,Mexico City,3,7.9764
Switzerland|Uzbekistan|Mexico City|3,Switzerland,Uzbekistan,Mexico City,3,7.9751
Qatar|Senegal|Mexico City|3,Qatar,Senegal,Mexico City,3,7.9751
Saudi Arabia|Senegal|Mexico City|3,Saudi Arabia,Senegal,Mexico City,3,7.9751
Algeria|Colombia|Mexico City|3,Algeria,Colombia,Mexico City,3,7.9746
Colombia|Scotland|Mexico City|3,Colombia,Scotland,Mexico City,3,7.9746
Ghana|Qatar|Mexico City|2,Ghana,Qatar,Mexico City,2,7.9732
Algeria|Japan|Mexico City|3,Algeria,Japan,Mexico City,3,7.9702
Haiti|Qatar|Mexico City|2,Haiti,Qatar,Mexico City,2,7.9646
New Zealand|Qatar|Mexico City|2,New Zealand,Qatar,Mexico City,2,7.9646
Colombia|Egypt|Mexico City|3,Colombia,Egypt,Mexico City,3,7.9611
Croatia|Egypt|Mexico City|3,Croatia,Egypt,Mexico City,3,7.954
Algeria|Croatia|Mexico City|3,Algeria,Croatia,Mexico City,3,7.954
Croatia|Scotland|Mexico City|3,Croatia,Scotland,Mexico City,3,7.954
Cote d'Ivoire|Switzerland|Mexico City|3,Cote d'Ivoire,Switzerland,Mexico City,3,7.954
