venue,city,state,country,capacity,stage,n_matches,per_match_base_usd,per_match_low_usd,per_match_high_usd,total_base_usd,total_low_usd,total_high_usd
MetLife Stadium,New York/New Jersey,NJ,USA,82500,Group,5,5539286,4431429,6647143,27696429,22157143,33235714
MetLife Stadium,New York/New Jersey,NJ,USA,82500,Round of 16,1,9546429,7637143,11455714,9546429,7637143,11455714
MetLife Stadium,New York/New Jersey,NJ,USA,82500,Quarter-finals,1,12375000,9900000,14850000,12375000,9900000,14850000
MetLife Stadium,New York/New Jersey,NJ,USA,82500,Final,1,39010714,31208571,46812857,39010714,31208571,46812857
AT&T Stadium,Dallas/Arlington,TX,USA,80000,Group,5,5371429,4297143,6445714,26857143,21485714,32228571
AT&T Stadium,Dallas/Arlington,TX,USA,80000,Round of 16,1,9257143,7405714,11108571,9257143,7405714,11108571
AT&T Stadium,Dallas/Arlington,TX,USA,80000,Quarter-finals,1,12000000,9600000,14400000,12000000,9600000,14400000
AT&T Stadium,Dallas/Arlington,TX,USA,80000,Semi-finals,1,24457143,19565714,29348571,24457143,19565714,29348571
SoFi Stadium,Los Angeles,CA,USA,70000,Group,6,4700000,3760000,5640000,28200000,22560000,33840000
SoFi Stadium,Los Angeles,CA,USA,70000,Round of 16,1,8100000,6480000,9720000,8100000,6480000,9720000
SoFi Stadium,Los Angeles,CA,USA,70000,Quarter-finals,1,10500000,8400000,12600000,10500000,8400000,12600000
Mercedes-Benz Stadium,Atlanta,GA,USA,71000,Group,5,4767143,3813714,5720571,23835714,19068571,28602857
Mercedes-Benz Stadium,Atlanta,GA,USA,71000,Round of 16,1,8215714,6572571,9858857,8215714,6572571,9858857
Mercedes-Benz Stadium,Atlanta,GA,USA,71000,Quarter-finals,1,10650000,8520000,12780000,10650000,8520000,12780000
Mercedes-Benz Stadium,Atlanta,GA,USA,71000,Semi-finals,1,21705714,17364571,26046857,21705714,17364571,26046857
Arrowhead Stadium,Kansas City,MO,USA,76416,Group,4,5130789,4104631,6156946,20523154,16418523,24627785
Arrowhead Stadium,Kansas City,MO,USA,76416,Round of 16,1,8842423,7073938,10610907,8842423,7073938,10610907
Arrowhead Stadium,Kansas City,MO,USA,76416,Quarter-finals,1,11462400,9169920,13754880,11462400,9169920,13754880
Hard Rock Stadium,Miami Gardens,FL,USA,65000,Group,5,4364286,3491429,5237143,21821429,17457143,26185714
Hard Rock Stadium,Miami Gardens,FL,USA,65000,Round of 16,1,7521429,6017143,9025714,7521429,6017143,9025714
Hard Rock Stadium,Miami Gardens,FL,USA,65000,Third place,1,10121429,8097143,12145714,10121429,8097143,12145714
NRG Stadium,Houston,TX,USA,72220,Group,5,4849057,3879246,5818869,24245286,19396229,29094343
NRG Stadium,Houston,TX,USA,72220,Round of 16,1,8356886,6685509,10028263,8356886,6685509,10028263
NRG Stadium,Houston,TX,USA,72220,Quarter-finals,1,10833000,8666400,12999600,10833000,8666400,12999600
Levi's Stadium,Santa Clara,CA,USA,68500,Group,5,4599286,3679429,5519143,22996429,18397143,27595714
Levi's Stadium,Santa Clara,CA,USA,68500,Round of 16,1,7926429,6341143,9511714,7926429,6341143,9511714
Lincoln Financial Field,Philadelphia,PA,USA,69000,Group,5,4632857,3706286,5559429,23164286,18531429,27797143
Lincoln Financial Field,Philadelphia,PA,USA,69000,Round of 16,1,7984286,6387429,9581143,7984286,6387429,9581143
Gillette Stadium,Foxborough,MA,USA,65878,Group,5,4423237,3538590,5307885,22116186,17692949,26539423
Gillette Stadium,Foxborough,MA,USA,65878,Round of 16,1,7623026,6098421,9147631,7623026,6098421,9147631
Gillette Stadium,Foxborough,MA,USA,65878,Quarter-finals,1,9881700,7905360,11858040,9881700,7905360,11858040
Lumen Field,Seattle,WA,USA,68740,Group,5,4615400,3692320,5538480,23077000,18461600,27692400
Lumen Field,Seattle,WA,USA,68740,Round of 16,1,7954200,6363360,9545040,7954200,6363360,9545040
BMO Field,Toronto,ON,Canada,45000,Group,6,3021429,2417143,3625714,18128571,14502857,21754286
BMO Field,Toronto,ON,Canada,45000,Round of 16,1,5207143,4165714,6248571,5207143,4165714,6248571
BC Place,Vancouver,BC,Canada,54500,Group,6,3659286,2927429,4391143,21955714,17564571,26346857
BC Place,Vancouver,BC,Canada,54500,Round of 16,1,6306429,5045143,7567714,6306429,5045143,7567714
Estadio Azteca,Mexico City,CDMX,Mexico,87000,Group,4,5841429,4673143,7009714,23365714,18692571,28038857
Estadio Azteca,Mexico City,CDMX,Mexico,87000,Round of 16,1,10067143,8053714,12080571,10067143,8053714,12080571
Estadio Akron,Guadalajara,JAL,Mexico,48000,Group,3,3222857,2578286,3867429,9668571,7734857,11602286
Estadio Akron,Guadalajara,JAL,Mexico,48000,Round of 16,1,5554286,4443429,6665143,5554286,4443429,6665143
Estadio BBVA,Monterrey,NL,Mexico,51000,Group,3,3424286,2739429,4109143,10272857,8218286,12327429
Estadio BBVA,Monterrey,NL,Mexico,51000,Round of 16,1,5901429,4721143,7081714,5901429,4721143,7081714
