team,group,probability
Argentina,A,0.0
Argentina,B,0.0
Argentina,C,0.106
Argentina,D,0.0
Argentina,E,0.115
Argentina,F,0.1095
Argentina,G,0.1195
Argentina,H,0.1065
Argentina,I,0.1145
Argentina,J,0.11
Argentina,K,0.1045
Argentina,L,0.1145
France,A,0.0
France,B,0.0
France,C,0.109
France,D,0.0
France,E,0.1185
France,F,0.1045
France,G,0.1195
France,H,0.1065
France,I,0.116
France,J,0.1165
France,K,0.1025
France,L,0.107
Spain,A,0.0
Spain,B,0.0
Spain,C,0.107
Spain,D,0.0
Spain,E,0.115
Spain,F,0.118
Spain,G,0.104
Spain,H,0.1175
Spain,I,0.1115
Spain,J,0.1035
Spain,K,0.1155
Spain,L,0.108
England,A,0.0
England,B,0.0
England,C,0.116
England,D,0.0
England,E,0.104
England,F,0.1065
England,G,0.1195
England,H,0.1065
England,I,0.1085
England,J,0.106
England,K,0.1235
England,L,0.1095
Brazil,A,0.0
Brazil,B,0.0
Brazil,C,0.1135
Brazil,D,0.0
Brazil,E,0.098
Brazil,F,0.101
Brazil,G,0.1115
Brazil,H,0.1075
Brazil,I,0.123
Brazil,J,0.1235
Brazil,K,0.1195
Brazil,L,0.1025
Portugal,A,0.0
Portugal,B,0.0
Portugal,C,0.117
Portugal,D,0.0
Portugal,E,0.109
Portugal,F,0.116
Portugal,G,0.106
Portugal,H,0.1125
Portugal,I,0.108
Portugal,J,0.111
Portugal,K,0.111
Portugal,L,0.1095
Netherlands,A,0.0
Netherlands,B,0.0
Netherlands,C,0.1045
Netherlands,D,0.0
Netherlands,E,0.117
Netherlands,F,0.1255
Netherlands,G,0.12
Netherlands,H,0.1075
Netherlands,I,0.1025
Netherlands,J,0.1095
Netherlands,K,0.0945
Netherlands,L,0.119
Germany,A,0.0
Germany,B,0.0
Germany,C,0.111
Germany,D,0.0
Germany,E,0.1125
Germany,F,0.1125
Germany,G,0.0955
Germany,H,0.1165
Germany,I,0.11
Germany,J,0.1105
Germany,K,0.123
Germany,L,0.1085
Belgium,A,0.0
Belgium,B,0.0
Belgium,C,0.116
Belgium,D,0.0
Belgium,E,0.111
Belgium,F,0.1065
Belgium,G,0.1045
Belgium,H,0.119
Belgium,I,0.106
Belgium,J,0.1095
Belgium,K,0.106
Belgium,L,0.1215
Mexico,A,1.0
Mexico,B,0.0
Mexico,C,0.0
Mexico,D,0.0
Mexico,E,0.0
Mexico,F,0.0
Mexico,G,0.0
Mexico,H,0.0
Mexico,I,0.0
Mexico,J,0.0
Mexico,K,0.0
Mexico,L,0.0
USA,A,0.0
USA,B,0.0
USA,C,0.0
USA,D,1.0
USA,E,0.0
USA,F,0.0
USA,G,0.0
USA,H,0.0
USA,I,0.0
USA,J,0.0
USA,K,0.0
USA,L,0.0
Canada,A,0.0
Canada,B,1.0
Canada,C,0.0
Canada,D,0.0
Canada,E,0.0
Canada,F,0.0
Canada,G,0.0
Canada,H,0.0
Canada,I,0.0
Canada,J,0.0
Canada,K,0.0
Canada,L,0.0
Italy,A,0.0765
Italy,B,0.09
Italy,C,0.0885
Italy,D,0.079
Italy,E,0.0845
Italy,F,0.066
Italy,G,0.095
Italy,H,0.0855
Italy,I,0.0895
Italy,J,0.077
Italy,K,0.087
Italy,L,0.0815
Morocco,A,0.079
Morocco,B,0.0725
Morocco,C,0.0855
Morocco,D,0.074
Morocco,E,0.088
Morocco,F,0.0865
Morocco,G,0.09
Morocco,H,0.096
Morocco,I,0.0855
Morocco,J,0.0815
Morocco,K,0.0795
Morocco,L,0.082
Croatia,A,0.0675
Croatia,B,0.0835
Croatia,C,0.0935
Croatia,D,0.0765
Croatia,E,0.0795
Croatia,F,0.083
Croatia,G,0.0805
Croatia,H,0.0915
Croatia,I,0.0905
Croatia,J,0.0925
Croatia,K,0.0765
Croatia,L,0.085
Japan,A,0.082
Japan,B,0.081
Japan,C,0.084
Japan,D,0.0865
Japan,E,0.0815
Japan,F,0.091
Japan,G,0.0725
Japan,H,0.084
Japan,I,0.0775
Japan,J,0.083
Japan,K,0.0885
Japan,L,0.0885
Uruguay,A,0.102
Uruguay,B,0.0935
Uruguay,C,0.072
Uruguay,D,0.1075
Uruguay,E,0.077
Uruguay,F,0.077
Uruguay,G,0.0885
Uruguay,H,0.085
Uruguay,I,0.0655
Uruguay,J,0.072
Uruguay,K,0.0805
Uruguay,L,0.0795
Senegal,A,0.0805
Senegal,B,0.072
Senegal,C,0.078
Senegal,D,0.071
Senegal,E,0.093
Senegal,F,0.0945
Senegal,G,0.09
Senegal,H,0.071
Senegal,I,0.09
Senegal,J,0.0955
Senegal,K,0.0805
Senegal,L,0.084
Colombia,A,0.104
Colombia,B,0.105
Colombia,C,0.072
Colombia,D,0.1065
Colombia,E,0.0755
Colombia,F,0.0855
Colombia,G,0.078
Colombia,H,0.082
Colombia,I,0.0755
Colombia,J,0.0705
Colombia,K,0.079
Colombia,L,0.0665
Switzerland,A,0.076
Switzerland,B,0.069
Switzerland,C,0.081
Switzerland,D,0.071
Switzerland,E,0.0875
Switzerland,F,0.097
Switzerland,G,0.092
Switzerland,H,0.082
Switzerland,I,0.0855
Switzerland,J,0.082
Switzerland,K,0.0835
Switzerland,L,0.0935
Denmark,A,0.0725
Denmark,B,0.0795
Denmark,C,0.092
Denmark,D,0.0785
Denmark,E,0.0815
Denmark,F,0.0825
Denmark,G,0.0855
Denmark,H,0.084
Denmark,I,0.0845
Denmark,J,0.085
Denmark,K,0.0805
Denmark,L,0.094
Ecuador,A,0.0955
Ecuador,B,0.109
Ecuador,C,0.0755
Ecuador,D,0.093
Ecuador,E,0.0825
Ecuador,F,0.066
Ecuador,G,0.0675
Ecuador,H,0.0805
Ecuador,I,0.08
Ecuador,J,0.0775
Ecuador,K,0.0965
Ecuador,L,0.0765
South Korea,A,0.0815
South Korea,B,0.0605
South Korea,C,0.091
South Korea,D,0.076
South Korea,E,0.089
South Korea,F,0.0795
South Korea,G,0.0875
South Korea,H,0.0805
South Korea,I,0.0865
South Korea,J,0.0975
South Korea,K,0.08
South Korea,L,0.0905
Iran,A,0.083
Iran,B,0.0845
Iran,C,0.087
Iran,D,0.0805
Iran,E,0.0805
Iran,F,0.0915
Iran,G,0.073
Iran,H,0.078
Iran,I,0.0895
Iran,J,0.086
Iran,K,0.088
Iran,L,0.0785
