team_a,team_b,group_stage_meetings,probability
Australia,Ivory Coast,314,0.157
Australia,Cameroon,312,0.156
Australia,Ghana,310,0.155
Bolivia,South Korea,301,0.1505
Bolivia,Mexico,295,0.1475
Bolivia,Iran,290,0.145
Ghana,Japan,290,0.145
Senegal,Uzbekistan,289,0.1445
Ghana,Paraguay,289,0.1445
Bolivia,Japan,286,0.143
Morocco,Sweden,283,0.1415
Algeria,Switzerland,282,0.141
Senegal,Sweden,279,0.1395
Cameroon,Iran,277,0.1385
Cameroon,Japan,274,0.137
Ivory Coast,Poland,273,0.1365
Iran,Ivory Coast,273,0.1365
Senegal,Serbia,272,0.136
Argentina,Panama,271,0.1355
Denmark,Tunisia,271,0.1355
Australia,Italy,271,0.1355
Ghana,Iran,271,0.1355
Iraq,Morocco,271,0.1355
Saudi Arabia,Senegal,270,0.135
Brazil,Costa Rica,270,0.135
Croatia,Nigeria,268,0.134
Morocco,Norway,267,0.1335
Bolivia,Canada,267,0.1335
Croatia,Paraguay,265,0.1325
Australia,Croatia,264,0.132
Denmark,Egypt,264,0.132
Cameroon,South Korea,263,0.1315
Brazil,Italy,263,0.1315
Morocco,Turkey,260,0.13
Argentina,Jamaica,259,0.1295
Ivory Coast,Sweden,258,0.129
Senegal,Turkey,258,0.129
Italy,Nigeria,258,0.129
Italy,Tunisia,257,0.1285
Morocco,Poland,257,0.1285
Australia,Switzerland,257,0.1285
Egypt,Italy,256,0.128
Egypt,Switzerland,256,0.128
Morocco,Saudi Arabia,256,0.128
Mexico,New Zealand,256,0.128
Norway,Senegal,255,0.1275
Denmark,Paraguay,255,0.1275
Ivory Coast,Japan,255,0.1275
Ivory Coast,USA,254,0.127
Denmark,Nigeria,254,0.127
Austria,Morocco,254,0.127
Ghana,South Korea,254,0.127
Austria,Senegal,253,0.1265
Nigeria,Switzerland,252,0.126
Austria,Ghana,252,0.126
Bolivia,Tunisia,252,0.126
New Zealand,South Korea,252,0.126
Paraguay,Switzerland,251,0.1255
Cameroon,Turkey,251,0.1255
Cameroon,Paraguay,250,0.125
Australia,Bolivia,250,0.125
Cameroon,Norway,250,0.125
Canada,New Zealand,249,0.1245
Argentina,Croatia,249,0.1245
Morocco,Qatar,248,0.124
Brazil,Jamaica,248,0.124
Ivory Coast,Paraguay,248,0.124
Italy,Paraguay,248,0.124
Australia,Denmark,246,0.123
Japan,Panama,246,0.123
Paraguay,Spain,246,0.123
Algeria,New Zealand,246,0.123
Argentina,Costa Rica,245,0.1225
Morocco,Serbia,245,0.1225
Ghana,Poland,245,0.1225
Brazil,Senegal,245,0.1225
Ivory Coast,South Korea,244,0.122
Qatar,Senegal,244,0.122
Iraq,Tunisia,244,0.122
Morocco,Uzbekistan,244,0.122
Brazil,Norway,244,0.122
Cameroon,Serbia,243,0.1215
Jamaica,Nigeria,243,0.1215
Algeria,Denmark,243,0.1215
Bolivia,USA,243,0.1215
Colombia,Uzbekistan,242,0.121
Cameroon,Sweden,242,0.121
Algeria,Jamaica,242,0.121
Brazil,Sweden,242,0.121
Nigeria,Panama,241,0.1205
Ghana,Turkey,241,0.1205
Algeria,Croatia,241,0.1205
Croatia,Tunisia,241,0.1205
Austria,Ivory Coast,241,0.1205
Egypt,Iraq,239,0.1195
Canada,Ivory Coast,238,0.119
Germany,Jamaica,238,0.119
Bolivia,Morocco,237,0.1185
Cameroon,USA,237,0.1185
Iran,New Zealand,235,0.1175
Jamaica,South Korea,235,0.1175
France,Panama,235,0.1175
Ivory Coast,Norway,235,0.1175
Argentina,Austria,234,0.117
Iraq,Senegal,234,0.117
Egypt,Uzbekistan,234,0.117
Mexico,Saudi Arabia,234,0.117
Netherlands,Paraguay,234,0.117
Colombia,Qatar,233,0.1165
