team,group,count,probability,lower_ci_95,upper_ci_95,pot,confederation,is_host,is_locked,locked_to_group,structurally_impossible,observed_zero
Mexico,A,98258,1.0,1.0,1.0,1,CONCACAF,True,True,A,False,False
Mexico,B,0,0.0,0.0,0.0,1,CONCACAF,True,True,A,True,True
Mexico,C,0,0.0,0.0,0.0,1,CONCACAF,True,True,A,True,True
Mexico,D,0,0.0,0.0,0.0,1,CONCACAF,True,True,A,True,True
Mexico,E,0,0.0,0.0,0.0,1,CONCACAF,True,True,A,True,True
Mexico,F,0,0.0,0.0,0.0,1,CONCACAF,True,True,A,True,True
Mexico,G,0,0.0,0.0,0.0,1,CONCACAF,True,True,A,True,True
Mexico,H,0,0.0,0.0,0.0,1,CONCACAF,True,True,A,True,True
Mexico,I,0,0.0,0.0,0.0,1,CONCACAF,True,True,A,True,True
Mexico,J,0,0.0,0.0,0.0,1,CONCACAF,True,True,A,True,True
Mexico,K,0,0.0,0.0,0.0,1,CONCACAF,True,True,A,True,True
Mexico,L,0,0.0,0.0,0.0,1,CONCACAF,True,True,A,True,True
Canada,A,0,0.0,0.0,0.0,1,CONCACAF,True,True,B,True,True
Canada,B,98258,1.0,1.0,1.0,1,CONCACAF,True,True,B,False,False
Canada,C,0,0.0,0.0,0.0,1,CONCACAF,True,True,B,True,True
Canada,D,0,0.0,0.0,0.0,1,CONCACAF,True,True,B,True,True
Canada,E,0,0.0,0.0,0.0,1,CONCACAF,True,True,B,True,True
Canada,F,0,0.0,0.0,0.0,1,CONCACAF,True,True,B,True,True
Canada,G,0,0.0,0.0,0.0,1,CONCACAF,True,True,B,True,True
Canada,H,0,0.0,0.0,0.0,1,CONCACAF,True,True,B,True,True
Canada,I,0,0.0,0.0,0.0,1,CONCACAF,True,True,B,True,True
Canada,J,0,0.0,0.0,0.0,1,CONCACAF,True,True,B,True,True
Canada,K,0,0.0,0.0,0.0,1,CONCACAF,True,True,B,True,True
Canada,L,0,0.0,0.0,0.0,1,CONCACAF,True,True,B,True,True
United States,A,0,0.0,0.0,0.0,1,CONCACAF,True,True,D,True,True
United States,B,0,0.0,0.0,0.0,1,CONCACAF,True,True,D,True,True
United States,C,0,0.0,0.0,0.0,1,CONCACAF,True,True,D,True,True
